Grid_ID,Longitude,Latitude,NDVI,EVI,NDWI,SAVI,VV,VH,VV_VH,Temperature,Rainfall,Soil_Moisture,ET,Crop,Growth_Stage,NDVI_N,EVI_N,NDWI_N,SAVI_N,VV_N,VH_N,VV_VH_N,Temperature_N,Rainfall_N,Soil_Moisture_N,ET_N,Stress_Class,Stress_Score
G0045,78.1362197163839,9.91715153977518,0.6001172661781311,1.4316687648622184,-0.5585379600524902,0.9000439689286238,-6.779707449158469,-16.448244543207473,0.4121842565842834,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.6918964765940385,0.7645846371893243,0.40789416133401785,0.6918780028309035,0.7078002326084865,0.44473733717731534,0.23906105504623867,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0046,78.13631080049115,9.917150687536324,0.27808070182800293,0.581329077852502,-0.3743770122528076,0.4170641951751397,-5.885415321427749,-18.270409495526483,0.32212826553607327,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.1556906715545298,0.22498180827066047,0.8786099919620723,0.1556821544939813,0.8135611217593901,0.28422657427833825,0.0818063240372867,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0047,78.13640188459014,9.917149835272815,0.27292054891586304,0.4505176346727496,-0.3732798099517822,0.40932642487046633,-5.683741303578628,-18.94248446680436,0.3000525782950524,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.14709877779872427,0.14197236407671812,0.8814144437129179,0.14709181481887051,0.8374115200632213,0.22502487235347646,0.04325801405237885,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0048,78.13549018390036,9.917068046866303,0.22247812151908875,0.3008221225710015,-0.42381975054740906,0.33367875647668394,-8.308115981252351,-14.663383329282475,0.5665892921629632,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.06310979833294093,0.046979594668781086,0.7522342325899818,0.0631090728214439,0.5270473887360312,0.6019620904858948,0.5086813440879139,0.0,0.0,0.0,0.0,Moderate Stress,0.7
G0049,78.13558126804848,9.917067194832592,0.1845753937959671,0.22678875638841567,-0.4140160381793976,0.27683309866782196,-9.122801267185553,-16.11804711474724,0.5659991686485781,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.0,0.0,0.777292545254438,0.0,0.43070097401683793,0.47382374951445333,0.507650877225726,0.0,0.0,0.0,0.0,Moderate Stress,0.7
G0050,78.13567235218838,9.917066342774227,0.2540813982486725,0.34574468085106386,-0.45246338844299316,0.3810782848603288,-9.011418877452575,-16.093915312554298,0.5599270719675705,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.11573071880161405,0.07548624900997523,0.6790210244406896,0.11573121501783881,0.4438732923327823,0.47594947033637286,0.49704785216189623,0.0,0.0,0.0,0.0,Moderate Stress,0.7
G0051,78.13576343632006,9.917065490691208,0.3591921031475067,0.5759605476225527,-0.5087898373603821,0.5387263339070568,-9.748179095230217,-16.234201778765623,0.6004717218669081,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.2907449140135349,0.22157508253097039,0.5350504839691168,0.2907493710377963,0.3567424619173328,0.4635919240630105,0.5678464513395928,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0052,78.13585452044353,9.917064638583534,0.3151618540287018,0.6014304291287387,-0.43661317229270935,0.4726924305333759,-7.474758256272739,-15.460221912128965,0.4834832448561807,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.21743250856515797,0.23773758831885333,0.7195342154833994,0.2174396658232645,0.6256020458124233,0.5317702186264046,0.3635625245365405,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0053,78.13594560455877,9.917063786451209,0.42168673872947693,0.7529293299157818,-0.5082948207855225,0.6324490580545944,-6.811392172265689,-16.353372918771743,0.41651298518650026,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.39480137869016074,0.33387473996731254,0.5363157475388023,0.3947987294450618,0.704053129861621,0.4530943834459663,0.24661983091477535,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0054,78.1360366886658,9.917062934294227,0.6442516446113586,1.3173652694610778,-0.608914852142334,0.9662464416429443,-8.433668762071312,-16.9653511804346,0.49711135787141825,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.7653822621770001,0.6920506952647224,0.2791307025885501,0.7653748508317789,0.5121992498303736,0.39918647706675414,0.3873597780165839,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0055,78.13612777276461,9.917062082112592,0.609771192073822,1.252063492063492,-0.5718598961830139,0.9145153810480754,-8.99034632238508,-17.09894240576208,0.5257837653956581,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.707970710639905,0.6506119333729098,0.37384326017296204,0.7079439159802667,0.44636537751559047,0.3874187007923649,0.4374272047376959,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0056,78.13621885685521,9.917061229906302,0.4922834634780884,1.1531651173085435,-0.4600924551486969,0.7383089277279169,-9.58390840912849,-18.0404080561905,0.5312467644455419,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5123481973359633,0.5878536691069041,0.6595211113798688,0.5123225383267452,0.3761694626532477,0.30448692801233873,0.4469666305559265,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0057,78.13630994093756,9.917060377675359,0.2845238149166107,0.627955859169732,-0.3736473619937897,0.42672221395625654,-8.883197065413079,-19.70384698247417,0.45083567048172607,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.16641875346538182,0.254569916983575,0.8804749797993157,0.16640432104217726,0.45903707654750875,0.15795801428592482,0.30655370739297905,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0058,78.13548932457877,9.916977736933578,0.5456475615501404,1.0126970227670753,-0.579556405544281,0.8183748083500413,-4.987598980103359,-14.94619161607715,0.33370366901614956,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.6012018938864635,0.4987163721592143,0.3541709635204376,0.6012103036453297,0.9197387919057501,0.5770500901701193,0.10201915984523445,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0059,78.13558040870203,9.916976884907777,0.2884133756160736,0.49752611324903795,-0.44979506731033325,0.4325708432912257,-5.9136568492972295,-16.425503527615305,0.3600289537154779,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.17289505229906954,0.17180268766437606,0.6858412597476267,0.17289736886382917,0.8102212186048858,0.4467405464680828,0.14798806780951176,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0060,78.13567149281707,9.916976032857322,0.3000729978084564,0.458364312267658,-0.43872877955436707,0.4500547511862757,-9.160306806592487,-14.643741371078443,0.6255441539471736,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.19230886363673436,0.146951655873288,0.7141267181754621,0.19230770307549724,0.4262654891537127,0.6036923101853499,0.6116276425366522,0.0,0.0,0.0,0.0,Mild Stress,0.45
